# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M200 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00589  13.839709  -0.336492   0.146229  43274.142  44513.784     26    7    434.698    -39.217     97.873   0.580944  -0.047995   0.119780   0.643140  -0.159401   0.397812   0.759722  -0.062765   0.156641   0.695967  -0.172494   0.430488   0.146033   0.001547  0.760    6      6.757
00597  13.068186  -1.067475   0.134634  39700.316  40698.925     31   11    419.117    -27.565     85.095   0.552823  -0.033295   0.102785   0.547665  -0.098953   0.305479   0.567234  -0.034163   0.105465   0.551971  -0.099731   0.307881   0.134424   0.001053  0.567    4      6.716
00601  33.066003  -0.456141   0.101257  29909.694  30567.439     48    7    152.983    -15.291     35.313   0.230047  -0.021056   0.048628   0.038163  -0.010479   0.024201   0.293747  -0.026887   0.062093   0.040406  -0.011095   0.025624   0.101397   0.000514  0.294    6      6.710
00602  16.421342  -0.797350   0.066684  19530.279  20611.931    118   65    317.815    -36.903     53.197   0.478411  -0.050870   0.073332   0.331833  -0.105853   0.152592   0.605616  -0.064396   0.092830   0.354524  -0.113091   0.163026   0.066575   0.001028  0.606   16      6.709
00603   3.197967   0.747834   0.147834  44069.791  44827.367     40    8    333.005    -62.320     61.144   0.434547  -0.074472   0.073066   0.269606  -0.138614   0.135998   0.578022  -0.099061   0.097191   0.291458  -0.149849   0.147021   0.147852   0.001135  0.578    4      6.707
00612  37.983632  -0.008885   0.178141  52765.571  53745.892     21    7    328.073    -51.278     71.929   0.445035  -0.063699   0.089352   0.298863  -0.128331   0.180014   0.622745  -0.089135   0.125033   0.327553  -0.140650   0.197295   0.178141   0.001323  0.623    7      6.688
00613   1.878057  -0.799722   0.073194  21548.482  22177.747     74   34    226.323    -51.808     50.155   0.334481  -0.070116   0.067880   0.114119  -0.071767   0.069478   0.407987  -0.085525   0.082797   0.120139  -0.075553   0.073143   0.073334   0.000673  0.408    6      6.687
00614   1.249461   0.967204   0.099959  28440.411  30276.340     81   22    258.869   -137.817     79.347   0.375637  -0.183134   0.105439   0.165934  -0.242693   0.139729   0.543040  -0.264748   0.152427   0.182498  -0.266919   0.153677   0.099940   0.000952  0.543    8      6.686
00663  31.112895   0.304493   0.173573  51672.228  52659.744     29    5    256.541    -25.403     51.933   0.340210  -0.030850   0.063068   0.132878  -0.036148   0.073898   0.420605  -0.038141   0.077972   0.140453  -0.038209   0.078111   0.173230   0.000826  0.421    4      6.553
00676 337.300439   0.416662   0.129022  38404.313  39010.194     34   13    208.444    -23.138     46.895   0.304049  -0.030907   0.062641   0.090596  -0.027627   0.055994   0.393246  -0.039974   0.081017   0.096634  -0.029469   0.059726   0.129158   0.000735  0.393    7      6.525
00688  24.326786  -0.445193   0.055741  16307.810  17167.016     65   43    156.120    -19.175     39.642   0.244232  -0.027470   0.056791   0.043689  -0.014742   0.030477   0.396556  -0.044602   0.092211   0.048730  -0.016443   0.033994   0.055946   0.000625  0.397   11      6.485
00711 324.326739   0.444765   0.051081  14655.954  15918.380     86   31    315.628    -37.106     72.107   0.478204  -0.051482   0.100045   0.326498  -0.105449   0.204920   0.590828  -0.063607   0.123607   0.346525  -0.111917   0.217489   0.050948   0.000929  0.591   14      6.433
00724  14.263440  -0.842061   0.044692  12358.644  14632.870    192  149    554.547    -48.906     70.141   0.828784  -0.066933   0.095995   1.689435  -0.409320   0.587046   0.871762  -0.070404   0.100973   1.717934  -0.416225   0.596949   0.044077   0.001417  0.872   33      6.400
00747  29.661537  -0.694848   0.189207  56346.292  57128.751     22    5    368.904    -12.656     46.266   0.466239  -0.014648   0.053547   0.347677  -0.032768   0.119790   0.629047  -0.019762   0.072245   0.377885  -0.035615   0.130198   0.188047   0.000143  0.629    4      6.340
