# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
00747  29.663404  -0.682636   0.189000   0.006000     6.340   5.44   2.33   0.44   0.19
00751   6.950426   0.169947   0.222000   0.003000     6.327   1.70   1.30   0.18   0.14
00755  29.344702   0.406584   0.137500   0.002500     6.322   7.60   2.76   0.57   0.21
00756  25.384655  -0.920541   0.218000   0.003000     6.320   2.11   1.45   0.21   0.15
00763 356.696930   1.294002   0.075000   0.010000     6.303   1.13   1.06   0.13   0.12
00767  30.715904   0.045412   0.050250   0.004750     6.299   1.42   1.19   0.16   0.13
00768 344.511570   0.302205   0.117000   0.002000     6.298   6.39   2.53   0.50   0.20
00769 323.691960   0.872834   0.090000   0.000000     6.294   1.25   1.12   0.14   0.13
00770   8.034620  -0.926126   0.161000   0.006000     6.287   0.46   0.68   0.07   0.10
00771  36.999252   0.664931   0.055000   0.000000     6.287   0.65   0.81   0.09   0.11
00775   6.127176  -1.103175   0.141500   0.003500     6.276   4.66   2.16   0.39   0.18
00784  27.335663  -1.054594   0.151500   0.001500     6.263   5.62   2.37   0.45   0.19
00785 325.960940   0.844362   0.212400   0.002600     6.262   1.96   1.40   0.20   0.14
00786  29.780413   0.848225   0.139850   0.000150     6.261   5.86   2.42   0.47   0.19
00788  42.244200  -0.771808   0.094500   0.000500     6.259   3.86   1.96   0.34   0.17
00790 319.110930  -0.822345   0.098500   0.003500     6.253   0.00   0.00   0.15   0.10
00791  20.065226  -0.092427   0.086500   0.003500     6.252   7.89   2.81   0.59   0.21
00794  35.047470   0.732429   0.199350   0.005650     6.248   0.39   0.63   0.06   0.09
00795  57.485527   0.056580   0.155300   0.000300     6.247   4.40   2.10   0.37   0.18
00803 345.700680   0.569265   0.170000   0.000000     6.228   4.57   2.14   0.39   0.18
00806  19.741684  -1.268096   0.183000   0.007000     6.208   1.16   1.08   0.13   0.12
00807   5.116798  -0.083330   0.057500   0.002500     6.208  10.20   3.19   0.72   0.22
00809  15.992779  -0.951516   0.214800   0.000200     6.201   4.24   2.06   0.36   0.18
00810  28.266546  -0.485649   0.197700   0.002700     6.199   1.73   1.32   0.18   0.14
00821 322.075380   0.171152   0.119000   0.004000     6.180   5.56   2.36   0.45   0.19
00833   9.315354   0.379605   0.218400   0.003400     6.165   0.87   0.93   0.11   0.12
00835  16.740139  -0.818324   0.139000   0.001000     6.156   3.26   1.81   0.30   0.16
00837  35.970726   1.041678   0.158500   0.001500     6.152   3.10   1.76   0.29   0.16
00851  27.499410  -0.052224   0.180000   0.005000     6.128   4.43   2.10   0.38   0.18
00852  32.394000  -0.171303   0.156500   0.001500     6.123   5.17   2.27   0.42   0.19
00854 335.983830  -0.824581   0.140000   0.010000     6.122   4.49   2.12   0.38   0.18
00855 326.113220   1.153662   0.185500   0.009500     6.121   3.01   1.73   0.28   0.16
00856  28.638150   0.442967   0.229000   0.004000     6.120   0.87   0.93   0.11   0.12
00860  31.875190  -0.165025   0.186000   0.006000     6.106   4.37   2.09   0.37   0.18
00866 343.544920  -0.934793   0.143000   0.007000     6.099   4.36   2.09   0.37   0.18
00868 322.559660  -1.256136   0.168000   0.003000     6.098   1.59   1.26   0.17   0.14
00873 337.991180   0.493591   0.221000   0.001000     6.091   1.67   1.29   0.18   0.14
00882 324.725040  -1.120520   0.159000   0.001000     6.073   4.29   2.07   0.37   0.18
00884 349.384600  -1.061225   0.191000   0.004000     6.066   3.26   1.80   0.30   0.16
00885 344.332860  -1.139549   0.188500   0.006500     6.065   3.40   1.84   0.31   0.17
00888  43.015090   1.241440   0.197300   0.002700     6.062   1.04   1.02   0.12   0.12
00890  33.794750   0.911814   0.135500   0.005500     6.061   4.24   2.06   0.36   0.18
00898 331.196930   0.271745   0.113000   0.002000     6.045   3.78   1.94   0.33   0.17
00906 343.470900   0.816616   0.213000   0.003000     6.031   1.61   1.27   0.17   0.14
00910  50.739380   0.397911   0.052000   0.002000     6.026   3.86   1.96   0.34   0.17
00916  29.215210  -1.190801   0.222550   0.007450     6.014   0.72   0.85   0.09   0.11
00918 343.405600  -1.019850   0.152000   0.007000     6.011   2.54   1.59   0.25   0.15
00926 340.590480   0.874635   0.108500   0.001500     5.994   3.85   1.96   0.34   0.17
00931  35.955257   0.817343   0.211300   0.003700     5.989   0.87   0.93   0.11   0.12
00933  11.124975   0.728627   0.181000   0.006000     5.986   3.62   1.90   0.32   0.17
00934 318.118960  -0.972813   0.045000   0.005000     5.984   0.00   0.00   0.15   0.10
00936  35.991790   1.073674   0.209200   0.000800     5.983   0.75   0.86   0.10   0.11
00941  43.163364  -0.150785   0.058000   0.003000     5.969   4.53   2.13   0.38   0.18
00945  38.262707   1.089686   0.129000   0.001000     5.961   5.12   2.26   0.42   0.19
00959  46.210850  -1.287829   0.123000   0.002000     5.943   3.32   1.82   0.30   0.17
00960  30.661299  -1.073808   0.186600   0.003400     5.943   4.35   2.08   0.37   0.18
00961  24.868559  -0.744259   0.181000   0.006000     5.940   2.26   1.50   0.22   0.15
00965  47.698963   0.064990   0.210000   0.000000     5.935   1.14   1.07   0.13   0.12
00966  27.873425  -1.007898   0.207000   0.003000     5.935   3.71   1.92   0.33   0.17
00969 354.627660  -1.262383   0.202000   0.002000     5.929   6.21   2.49   0.49   0.20
00973  42.248520  -0.122856   0.181000   0.004000     5.925   3.52   1.88   0.32   0.17
00975   9.648980   0.119859   0.065500   0.005500     5.925   4.30   2.07   0.37   0.18
00980 350.229280   0.532751   0.190500   0.004500     5.916   3.22   1.80   0.29   0.16
00981  25.456285   1.002324   0.191800   0.003200     5.915   1.69   1.30   0.18   0.14
00982  21.914156   1.030743   0.220300   0.000300     5.914   0.71   0.84   0.09   0.11
00985   8.611359   0.349727   0.197000   0.002000     5.907   2.27   1.51   0.23   0.15
00989  17.685370   0.033099   0.224150   0.000850     5.903   1.40   1.18   0.16   0.13
00992 323.574600   0.888142   0.174250   0.000750     5.900   0.89   0.94   0.11   0.12
00993  32.164505   0.510934   0.069000   0.004000     5.898   6.12   2.47   0.48   0.20
