# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
01066  51.562340  -1.246489   0.218000   0.003000     8.613   0.50   0.71   0.07   0.10
01069  21.470648   0.528855   0.115000   0.000000     8.604   7.69   2.77   0.58   0.21
01081  31.809778  -1.008103   0.136000   0.006000     8.573   3.19   1.79   0.29   0.16
01086 325.730680  -1.286147   0.124000   0.001000     8.565   4.89   2.21   0.41   0.18
01095  19.641254   0.170087   0.209000   0.004000     8.545   1.69   1.30   0.18   0.14
01102  26.639938  -0.652162   0.083000   0.003000     8.533   8.68   2.95   0.63   0.21
01113  40.668476   0.007912   0.085000   0.000000     8.481   0.97   0.98   0.12   0.12
01118 339.567350  -1.001646   0.135000   0.000000     8.463  12.46   3.53   0.83   0.24
01121  47.837204  -0.570715   0.223000   0.003000     8.459   1.60   1.26   0.17   0.14
01130  19.805382  -1.213512   0.130000   0.000000     8.443   5.35   2.31   0.44   0.19
01131  57.809814   1.217741   0.213100   0.003100     8.442   0.77   0.88   0.10   0.11
01137 352.250370  -1.238393   0.149250   0.000750     8.429   1.32   1.15   0.15   0.13
01144   0.619398   0.694687   0.195000   0.000000     8.409   3.85   1.96   0.34   0.17
01157 328.988680   1.148954   0.220000   0.000000     8.382   3.61   1.90   0.32   0.17
01171  18.244423   1.000657   0.115000   0.000000     8.352   1.32   1.15   0.15   0.13
01180 324.769130   1.285488   0.165000   0.000000     8.324   0.00   0.00   0.15   0.10
01182  26.215190   0.649368   0.195000   0.000000     8.317   3.87   1.97   0.34   0.17
01187  44.590640   0.677051   0.175000   0.000000     8.308   7.61   2.76   0.57   0.21
01197 329.439970   0.609387   0.110000   0.000000     8.282   1.79   1.34   0.19   0.14
01206 324.946040   0.456988   0.155000   0.000000     8.264   0.00   0.00   0.15   0.10
01209   7.597836  -1.117825   0.225000   0.000000     8.255   2.30   1.52   0.23   0.15
01220   5.730239   0.591608   0.208500   0.003500     8.224   1.42   1.19   0.16   0.13
01233 352.493230  -0.588646   0.185000   0.000000     8.204   3.24   1.80   0.30   0.16
01241  39.502396   0.493772   0.205000   0.005000     8.190   0.00   0.00   0.15   0.10
01244  42.284473  -1.286738   0.217000   0.003000     8.185   0.64   0.80   0.09   0.11
01266 336.225980  -0.412504   0.150000   0.005000     8.124  10.88   3.30   0.75   0.23
01271  55.079310   1.232090   0.195000   0.000000     8.119   1.34   1.16   0.15   0.13
01276  26.246397  -0.816168   0.191000   0.006000     8.108   3.05   1.75   0.28   0.16
01278  18.396500   1.241941   0.120000   0.000000     8.107  10.37   3.22   0.72   0.23
01286  25.822650   0.973888   0.188400   0.006600     8.086   1.56   1.25   0.17   0.13
01292 330.306340  -0.170642   0.195000   0.000000     8.070   2.95   1.72   0.28   0.16
01293  18.527405  -1.205384   0.220000   0.000000     8.068   3.95   1.99   0.34   0.17
01309 337.272830   0.095654   0.050000   0.000000     8.036   2.60   1.61   0.25   0.15
01324  50.646164  -1.250832   0.188000   0.003000     7.999   0.84   0.92   0.10   0.11
01328  15.279060  -0.943822   0.175000   0.000000     7.980   4.81   2.19   0.40   0.18
01334  26.282072  -0.125933   0.195000   0.000000     7.973   1.35   1.16   0.15   0.13
01335  13.564713  -0.642797   0.140000   0.005000     7.973   4.61   2.15   0.39   0.18
01355  39.599712   0.296817   0.225000   0.000000     7.923   3.57   1.89   0.32   0.17
01364  10.721294  -1.026622   0.206000   0.004000     7.907   2.52   1.59   0.24   0.15
01365 356.216060   1.158950   0.065000   0.000000     7.906   9.73   3.12   0.69   0.22
01372  41.435314   1.293163   0.223900   0.003900     7.886   0.34   0.58   0.05   0.09
01379   7.504432   1.101193   0.219000   0.006000     7.877   0.92   0.96   0.11   0.12
01385  55.291725   0.828166   0.220000   0.000000     7.868   2.24   1.50   0.22   0.15
01390  25.535686   0.443776   0.205000   0.000000     7.861   4.96   2.23   0.41   0.18
01403  32.806713   0.169531   0.210000   0.000000     7.831   3.56   1.89   0.32   0.17
01407  46.671840  -1.268741   0.143400   0.006600     7.812   0.78   0.88   0.10   0.11
01408  31.113705   0.303036   0.210000   0.000000     7.810   1.84   1.36   0.19   0.14
01411  23.737371  -0.678238   0.080000   0.000000     7.804  11.83   3.44   0.80   0.23
01424  37.698112  -0.579159   0.175000   0.000000     7.780   0.95   0.98   0.12   0.12
01428  20.513224  -0.331563   0.230000   0.000000     7.775   1.77   1.33   0.19   0.14
01432  23.234493   0.958141   0.130000   0.000000     7.765   9.44   3.07   0.67   0.22
01439  37.985870  -0.011160   0.181000   0.001000     7.756   5.93   2.43   0.47   0.19
01441   4.296801   0.828339   0.200000   0.000000     7.753   2.76   1.66   0.26   0.16
01448  23.229860  -0.596578   0.105000   0.000000     7.748   6.59   2.57   0.51   0.20
01449 348.135300   0.153501   0.130000   0.000000     7.745   8.08   2.84   0.60   0.21
01455  13.832011  -0.353717   0.163000   0.003000     7.728   7.96   2.82   0.59   0.21
01460  13.087220  -1.068376   0.140000   0.000000     7.716   4.13   2.03   0.36   0.18
01463  42.828102  -0.938680   0.165000   0.000000     7.712   3.93   1.98   0.34   0.17
01470 324.932000   0.956348   0.209500   0.005500     7.708   0.00   0.00   0.15   0.10
01476   3.203387   0.734983   0.145000   0.000000     7.701   5.10   2.26   0.42   0.19
01478 333.299700  -0.641153   0.230000   0.000000     7.700   3.49   1.87   0.31   0.17
01493  40.149693   1.297985   0.227200   0.002200     7.676   0.00   0.00   0.15   0.10
01495 326.365200   0.440038   0.183700   0.001300     7.672   3.86   1.96   0.34   0.17
01498  36.465294   1.256474   0.200000   0.000000     7.666   1.51   1.23   0.16   0.13
01501  31.367330   0.221892   0.190000   0.000000     7.661   5.61   2.37   0.45   0.19
01503  40.347073   0.568625   0.215000   0.000000     7.658   0.00   0.00   0.15   0.10
01507  50.168427  -1.053669   0.205000   0.000000     7.651   7.11   2.67   0.54   0.20
01518   5.703582  -0.648272   0.160000   0.000000     7.634   4.52   2.13   0.38   0.18
01532  43.638416   0.945734   0.075000   0.000000     7.588   9.11   3.02   0.66   0.22
01543 341.105530   0.586347   0.172000   0.008000     7.572   4.19   2.05   0.36   0.18
01547  38.098606   1.066256   0.030000   0.000000     7.559   8.42   2.90   0.62   0.21
01549   8.051108  -0.661274   0.222000   0.002000     7.549   1.73   1.32   0.18   0.14
