 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
1296,345.0801,+00.9742,345.0850,+00.9722,  8, 0.4287,  31.7,2
1297,346.0098,+00.0139,346.0099,+00.0146,  5, 0.2770,  17.9,2
1298,344.1537,+00.4344,344.1518,+00.4324,  6, 0.5510,  31.7,0
1299,346.2941,-00.1222,346.2775,-00.1351, 21, 0.4990, 159.8,1
1300,343.9446,+01.0659,343.9183,+01.0324, 13, 0.3264, 144.1,0
1301,346.2585,-00.9235,346.2581,-00.9183,  7, 0.2688,  32.6,3
1302,348.7322,+00.3379,348.7325,+00.3344,  6, 0.3263,  21.5,2
1303,348.2593,+00.4897,348.2548,+00.4989,  9, 0.3549,  37.6,2
1304,346.4472,-00.5997,346.4607,-00.5963,  6, 0.2373,  67.2,4
1305,346.6908,-01.0258,346.6889,-01.0239,  5, 0.3015,  18.2,4
1306,347.8399,+00.2797,347.8450,+00.2867,  5, 0.2127, 106.8,1
1307,347.1464,+00.7375,347.1432,+00.7381,  8, 0.3091,  92.4,2
1308,348.7782,-00.3029,348.7768,-00.3015,  5, 0.4430,  45.9,3
1309,348.5618,-01.0439,348.5570,-01.0476,  5, 0.3255,  26.7,2
1310,348.1565,+00.1648,348.1483,+00.1520, 12, 0.1147, 105.5,3
1311,347.5095,+00.5483,347.5080,+00.5415,  5, 0.2540,  29.8,2
1312,348.6037,+00.5252,348.5892,+00.5220,  7, 0.3743,  88.6,2
1313,348.2183,-00.3176,348.2187,-00.3212,  5, 0.3748,  21.7,2
1314,348.6833,+00.6165,348.6803,+00.6246,  6, 0.5067,  41.7,2
1315,347.7404,-00.8251,347.7371,-00.8291,  5, 0.1724,  18.4,2
1316,348.2524,-00.0659,348.2523,-00.0660,  7, 0.5916,  21.4,4
1317,346.3743,+00.0966,346.3728,+00.0933, 10, 0.5661,  41.6,
1318,347.2230,-00.0612,347.2268,-00.0614,  8, 0.4588,  60.2,3
1319,348.4094,+00.6994,348.4142,+00.6873,  8, 0.3344, 116.4,1
1320,347.4040,+00.5331,347.4027,+00.5281, 10, 0.2450,  52.7,1
1321,347.0443,+00.4649,347.0410,+00.4813, 32, 0.3364, 123.3,
1322,348.0566,+00.4536,348.0554,+00.4515,  5, 0.2566,  24.6,2
1323,347.7934,+01.0081,347.7962,+01.0031,  5, 0.2215,  34.8,1
1324,348.3934,+00.5726,348.3978,+00.5787, 27, 0.3660,  60.9,3
1325,346.4857,-00.9198,346.4954,-00.9195,  5, 0.2040,  28.6,4
1326,347.9002,-01.0947,347.9016,-01.0984,  8, 0.2408,  32.2,
1327,347.7943,-00.2835,347.8008,-00.2692,  9, 0.5375,  96.6,2
1328,347.8190,+00.0697,347.8236,+00.0768,  5, 0.2755,  53.8,2
1329,348.7210,+00.4787,348.7130,+00.4687, 24, 0.3585, 121.7,2
1330,347.8473,-00.3375,347.8508,-00.3321,  7, 0.2315,  37.9,2
1331,348.5657,+00.7275,348.5663,+00.7246, 13, 0.3585,  81.5,2
1332,347.2707,-00.7411,347.2647,-00.7440,  7, 0.1193,  28.7,2
1333,347.3410,-00.0981,347.3448,-00.0977,  5, 0.2695,  16.5,1
1334,347.1834,+01.2396,347.1812,+01.2453,  5, 0.3790,  33.7,2
1335,347.6097,+00.5530,347.6088,+00.5554,  5, 0.5346,  25.7,2
1336,348.4756,-01.0819,348.4740,-01.0883,  5, 0.4074,  23.7,3
1337,348.4632,+00.8827,348.4566,+00.8799,  5, 0.4632,  34.5,1
1338,346.9081,-00.8376,346.9094,-00.8312, 37, 0.3395,  76.3,4
1339,347.0438,-00.1701,347.0402,-00.1672,  6, 0.1717,  29.4,4
1340,348.5948,-01.1023,348.5817,-01.1128, 17, 0.2728,  63.7,3
1341,348.0641,+00.2192,348.0664,+00.2201,  5, 0.3731,  12.1,2
1342,347.1691,-00.8542,347.1676,-00.8479,  6, 0.2133,  32.8,
1343,347.1822,-00.5515,347.1760,-00.5513,  5, 0.3703,  23.1,2
1344,348.5468,+00.0749,348.5452,+00.0732,  5, 0.2354,  19.0,
1345,348.3801,-01.0007,348.3736,-00.9871,  7, 0.5165,  76.3,3
1346,346.6150,+01.0956,346.6263,+01.0922,  5, 0.3294,  33.3,
1347,346.5187,+00.5205,346.5145,+00.5182,  6, 0.2940,  52.8,4
1348,347.4954,+00.5404,347.4899,+00.5433,  5, 0.2600,  31.6,2
1349,347.2125,+00.7591,347.2100,+00.7669, 13, 0.3601,  97.5,2
1350,347.0750,-00.0475,347.0667,-00.0463,  7, 0.4460,  46.2,2
1351,346.3212,+00.0213,346.3156,+00.0112,  5, 0.3099,  23.3,
1352,347.3430,-01.1728,347.3365,-01.1668, 13, 0.3580, 101.5,2
1353,347.9405,-00.3112,347.9457,-00.3075,  6, 0.6078,  40.9,2
1354,347.2871,-00.7552,347.2894,-00.7576,  5, 0.2600,  32.3,3
1355,348.0526,-00.5107,348.0255,-00.5045,  6, 0.3459, 100.7,2
1356,347.4638,-00.9626,347.4572,-00.9669,  8, 0.3465,  42.6,2
1357,347.3598,-00.7541,347.3610,-00.7520,  5, 0.3193,  11.5,2
1358,347.1654,+00.5830,347.1755,+00.5832,  5, 0.3474,  38.8,2
1359,346.9094,+00.2957,346.9122,+00.3012,  5, 0.3831,  38.9,
