#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J1000.8+0228;150.221667;+02.475444;   59.3;  0.30;  3.40
J1000.9+6839;150.249583;+68.662472;  720.3;  0.47;  5.40
J1001.2+2506;150.314583;+25.103194;  330.0;  0.76;  2.20
J1001.2+0216;150.317500;+02.282194;   83.4;  0.12;  1.00
J1001.6+0225;150.423750;+02.427722; 2327.2;  0.12;  1.43
J1002.0+0213;150.507083;+02.225778;  908.8;  0.83;  6.00
J1010.6+5542;152.674167;+55.702361;  235.1;  0.20;  0.90
J1010.9+5557;152.734583;+55.953194;  248.4;  0.17;  1.10
J1015.1+4931;153.782500;+49.530972;  413.3;  0.38;  1.30
J1019.5+0803;154.880833;+08.062361;  441.6;  0.16;  2.70
J1021.5+2137;155.390417;+21.630222; 1166.0;  0.19;  1.90
J1021.6+1256;155.403750;+12.945333;  109.1;  0.33;  2.40
J1024.0+0402;156.001667;+04.039611;  261.3;  0.48;  2.00
J1025.6+4705;156.415417;+47.086833;  138.0;  0.19;  1.60
J1030.1+0519;157.529167;+05.330750;  627.2;  0.21;  1.60
J1030.6+6508;157.672083;+65.137000;  282.6;  0.20;  3.80
J1031.0+3051;157.750417;+30.859694; 1103.8;  0.14;  2.00
J1031.5+3113;157.881250;+31.221444;  314.1;  0.37;  5.80
J1039.5+3947;159.877917;+39.795472;  220.6;  0.09;  3.80
J1040.7+3957;160.185000;+39.952889;90125.7;  0.14;  3.54
J1044.3+2130;161.092500;+21.507000; 1753.4;  0.52;  3.30
J1045.7+0634;161.439167;+06.578139;  161.8;  0.21;
J1045.8+2133;161.464583;+21.564028;  121.4;  0.47;  1.70
J1050.6+5737;162.669167;+57.628167;  377.3;  0.69;  8.20
J1051.4+3551;162.869167;+35.856667;  101.9;  0.38;  0.80
J1052.4+4419;163.115000;+44.318083;  137.6;  0.46;  2.30
J1052.6+5730;163.152500;+57.515083;  255.4;  0.61;
J1053.3+5720;163.327083;+57.345472;  985.9;  0.34;  2.20
J1053.7+5735;163.441250;+57.587361; 1903.1;  1.13;  5.70
J1055.5-0459;163.897500;-04.989667;  321.2;  0.61;  3.30
J1056.9+0658;164.231667;+06.977833;  385.8;  0.30;  2.50
J1102.4-3454;165.603750;-34.906472;  330.5;  0.50;  3.10
J1103.0-3442;165.755833;-34.713278;  146.2;  0.14;
J1104.1+3544;166.027500;+35.742500;  178.1;  0.56; 10.70
J1104.4+3600;166.107917;+36.007306;  343.7;  0.50;  1.70
J1109.9+4827;167.475000;+48.451278; 1164.2;  0.51;  6.20
J1115.2+5319;168.815000;+53.330417; 1359.1;  0.47;  5.40
J1116.7+1800;169.189583;+18.013250;   98.0;  0.66;
J1117.1+4236;169.297917;+42.602917;  728.0;  0.44;
J1117.4+0743;169.358333;+07.724361; 1227.3;  0.48;  5.60
J1117.4+0746;169.373750;+07.775583;  898.8;  0.16;  1.80
J1117.4+1744;169.374167;+17.747611;  401.4;  0.55;  3.00
